Time,Interval Start,Interval End,Market,Location,Location Type,LMP,Energy,Congestion,Loss
2024-01-01 00:00:00-08:00,2024-01-01 00:00:00-08:00,2024-01-01 01:00:00-08:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,46.56375,47.42616,-0.01348,-0.84893
2024-01-01 01:00:00-08:00,2024-01-01 01:00:00-08:00,2024-01-01 02:00:00-08:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,45.72695,46.65594,-0.00986,-0.91912
2024-01-01 02:00:00-08:00,2024-01-01 02:00:00-08:00,2024-01-01 03:00:00-08:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,45.49123,46.02649,-0.01056,-0.5247
2024-01-01 03:00:00-08:00,2024-01-01 03:00:00-08:00,2024-01-01 04:00:00-08:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,45.12528,45.70215,-0.01017,-0.56671
2024-01-01 04:00:00-08:00,2024-01-01 04:00:00-08:00,2024-01-01 05:00:00-08:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,44.81464,45.30814,-0.04043,-0.45308
2024-01-01 05:00:00-08:00,2024-01-01 05:00:00-08:00,2024-01-01 06:00:00-08:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,43.22638,43.71113,-0.00393,-0.48082
2024-01-01 06:00:00-08:00,2024-01-01 06:00:00-08:00,2024-01-01 07:00:00-08:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,45.20573,45.60769,-0.02341,-0.37854
2024-01-01 07:00:00-08:00,2024-01-01 07:00:00-08:00,2024-01-01 08:00:00-08:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,45.77807,47.22899,-0.01043,-1.44048
2024-01-01 08:00:00-08:00,2024-01-01 08:00:00-08:00,2024-01-01 09:00:00-08:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,36.80704,40.5457,-2.11278,-1.62588
2024-01-01 09:00:00-08:00,2024-01-01 09:00:00-08:00,2024-01-01 10:00:00-08:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,29.50725,34.10291,-3.50778,-1.08788
2024-01-01 10:00:00-08:00,2024-01-01 10:00:00-08:00,2024-01-01 11:00:00-08:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,27.20276,31.83598,-3.65904,-0.97418
2024-01-01 11:00:00-08:00,2024-01-01 11:00:00-08:00,2024-01-01 12:00:00-08:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,23.58145,29.26317,-4.78334,-0.89838
2024-01-01 12:00:00-08:00,2024-01-01 12:00:00-08:00,2024-01-01 13:00:00-08:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,23.38072,28.00136,-3.58739,-1.03325
2024-01-01 13:00:00-08:00,2024-01-01 13:00:00-08:00,2024-01-01 14:00:00-08:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,23.13013,27.91519,-3.77453,-1.01053
2024-01-01 14:00:00-08:00,2024-01-01 14:00:00-08:00,2024-01-01 15:00:00-08:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,24.75643,29.41841,-3.99418,-0.6678
2024-01-01 15:00:00-08:00,2024-01-01 15:00:00-08:00,2024-01-01 16:00:00-08:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,38.85532,39.76538,-0.07102,-0.83905
2024-01-01 16:00:00-08:00,2024-01-01 16:00:00-08:00,2024-01-01 17:00:00-08:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,50.83699,50.88979,-0.0986,0.0458
2024-01-01 17:00:00-08:00,2024-01-01 17:00:00-08:00,2024-01-01 18:00:00-08:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,52.13569,51.87867,-0.07501,0.33202
2024-01-01 18:00:00-08:00,2024-01-01 18:00:00-08:00,2024-01-01 19:00:00-08:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,52.43491,52.21821,-0.08616,0.30287
2024-01-01 19:00:00-08:00,2024-01-01 19:00:00-08:00,2024-01-01 20:00:00-08:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,52.52294,52.30453,-0.05356,0.27198
